LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(µm),(µm),(µm),(frame),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID15108052,15108052,215,137.09317016601562,347.4857576638632,82.83196507715552,293.35585960968444,10.0,10,7.5,1,,624.7269890795632,572.0,365.0,1269.0,1201350.0,143.6384778355546,0.08414608145338526,0.6751426778200185
ID15830307,15830307,215,143.84156799316406,343.5215481571714,77.40647771612439,292.37839229733754,7.0,7,7.5,1,,614.9214768590743,571.0,402.0,1138.0,1182494.0,129.88763883313567,0.07317282582389299,0.6455977306465779
ID15185587,15185587,215,192.09107971191406,334.18560777788275,86.27998954566694,291.7767055965665,13.0,13,7.5,1,,620.7826313052523,557.0,415.0,1587.0,1193765.0,174.75823814672827,0.07876278423765704,0.5187128416256547
ID15401054,15401054,215,127.59947204589844,347.25561364219556,86.69178521566677,294.88575248077444,11.0,11,7.5,1,,632.6812272490899,573.0,394.0,1172.0,1216646.0,156.15075427455278,0.09003405039117582,0.6693258240717542
ID15682169,15682169,215,128.0017852783203,352.0489669380715,76.15988527989984,294.55108536746536,21.0,21,7.5,1,,634.6963078523141,570.0,389.0,1412.0,1220521.0,159.83415351695535,0.08894411328464245,0.6486911912872448
ID15653240,15653240,215,130.6908721923828,397.2301327804174,80.8139456137907,293.62851733815637,29.0,29,7.5,1,,623.7555902236089,571.0,405.0,1276.0,1199482.0,143.95655115303984,0.08282718293869065,0.662867542431018
ID15721176,15721176,215,124.50385284423828,332.09195816964547,77.04065370994637,295.05177259407026,16.0,16,7.5,1,,627.4664586583464,567.0,410.0,1268.0,1206618.0,155.07506924131783,0.08623797746340875,0.6424688963820815
ID15984651,15984651,215,110.96272277832031,335.3972053703234,84.15126590983756,294.8953000203968,15.0,15,7.5,1,,621.374414976599,567.0,403.0,1415.0,1194903.0,148.86996892898233,0.08174559251137994,0.6308345584365881
ID15002556,15002556,215,152.22360229492188,367.5743493333755,70.64541462420551,293.3992549600307,23.0,23,7.5,1,,629.4695787831513,568.0,407.0,1412.0,1210470.0,161.64847488630733,0.08757011767551635,0.6270927753868771
ID15456791,15456791,215,122.28687286376953,374.4953536429711,71.39421762300954,293.9493043922629,24.0,24,7.5,1,,623.4222568902757,573.0,388.0,1320.0,1198841.0,143.31654189140653,0.08243236678886232,0.6625413337736065
ID15908207,15908207,215,124.34957122802734,357.20591371714977,72.27800731195046,294.0605435765435,22.0,22,7.5,1,,622.1721268850754,571.0,421.0,1246.0,1196437.0,139.4048820427659,0.08043964903768712,0.6645569698730373
ID15944014,15944014,215,146.28121948242188,384.98424441704344,78.77791478284696,300.0,26.0,26,7.5,1,,639.65002600104,570.0,390.0,1514.0,1230047.0,179.62887724940782,0.13008254298036817,0.8197947151889433
ID15569458,15569458,215,147.18833923339844,342.84341651743296,74.2619162749847,292.10184524336734,9.0,9,7.5,1,,611.3083723348934,563.0,418.0,1295.0,1175546.0,142.0989127575248,0.06941986697310083,0.5585153501622493
ID15322664,15322664,216,443.7690124511719,356.83166221445106,184.46353518096922,151.58959322545775,25.0,25,7.5,1,,737.2766510660426,592.0,406.0,2681.0,1417783.0,331.90084525812154,0.16325556643447783,0.6235122297825167
ID15552879,15552879,216,424.0203552246094,343.204995616337,197.5134021712998,157.31653919704564,9.0,9,7.5,1,,731.2766510660426,617.0,406.0,1922.0,1406245.0,282.88503529780166,0.15835982210876426,0.7068109168198163
ID15741877,15741877,216,425.0558166503906,332.9070850381863,192.32860363051668,163.74314044877454,6.0,6,7.5,1,,730.6801872074883,604.0,396.0,1943.0,1405098.0,300.0266882987848,0.15694687297520912,0.660749266001538
ID15395821,15395821,216,426.8895568847656,361.3107167016356,178.44857733018208,155.28600296611336,28.0,28,7.5,1,,721.2719708788352,587.0,382.0,2230.0,1387006.0,304.51578625530067,0.15182973623668192,0.6244357955124437
ID15663527,15663527,216,501.3009338378906,346.01009178488965,195.04440115732407,138.07601200792914,21.0,21,7.5,1,,736.7347893915756,602.0,397.0,2425.0,1416741.0,322.7408301818781,0.16286494901473064,0.6394191067526163
ID15618215,15618215,216,433.7888488769531,371.04685639231025,178.25712292846896,156.69891263903966,29.0,29,7.5,1,,721.8876755070203,589.0,410.0,2251.0,1388190.0,320.64256971263154,0.1493836777140375,0.585216502614188
ID15926905,15926905,216,468.41131591796875,356.499850979236,182.4894194899867,147.66980007130093,26.0,26,7.5,1,,745.015600624025,590.0,403.0,2884.0,1432665.0,374.1272810704899,0.1664794196817483,0.5684070518596716
ID15207075,15207075,216,446.5190734863281,326.2745091477277,181.156837868377,170.39318123332583,5.0,5,7.5,1,,741.0925637025481,594.0,377.0,2560.0,1425121.0,350.7438086625624,0.16438871936924362,0.5966044115865243
ID15367226,15367226,216,500.7286682128906,348.9482061292536,198.40738606535368,154.6609383919796,11.0,11,7.5,1,,738.4186167446697,596.0,404.0,2704.0,1419979.0,352.8957096663194,0.16391518061459634,0.5893646706862442
ID15285368,15285368,216,458.6820983886719,336.2743059724836,196.6568548032731,158.26417150749165,8.0,8,7.5,1,,732.9370774830993,609.0,385.0,1933.0,1409438.0,294.1407788928416,0.1587399594553378,0.6827185934164499
ID15888992,15888992,216,493.9418029785156,343.98750200865373,195.44299066670925,144.25294693785662,22.0,22,7.5,1,,787.6895475819033,592.0,397.0,3276.0,1514727.0,452.9681219358222,0.1905417225953335,0.5566252539424305
ID15021744,15021744,216,530.6435546875,348.25283976795333,197.99036833361,153.71252127572532,12.0,12,7.5,1,,748.5486219448778,613.0,381.0,2734.0,1439459.0,334.02774735965346,0.16986060430169192,0.6507677384256948
ID15964966,15964966,216,514.3627319335938,354.0154658631128,187.13230644759665,144.6630804463357,15.0,15,7.5,1,,754.0915236609465,588.0,403.0,2514.0,1450118.0,375.95643822134633,0.17383540521865845,0.5940835923929049
ID14947058,14947058,216,451.5218200683594,353.7619499071191,182.44154366444013,137.26056293497135,17.0,17,7.5,1,,752.6588663546542,585.0,403.0,2468.0,1447363.0,368.6374172244353,0.17157932390615346,0.5980286860759786
ID15515387,15515387,216,463.7593078613281,326.1241424683511,180.30314720177432,167.85458344067968,2.0,2,7.5,1,,749.501820072803,583.0,415.0,2715.0,1441292.0,376.68013956952035,0.17066709247251585,0.5801580786518985
ID15244723,15244723,216,477.3555908203125,353.2815675316878,191.17865697874174,149.70305689647842,14.0,14,7.5,1,,735.7529901196048,609.0,387.0,2133.0,1414853.0,306.6661368581099,0.160686299564853,0.6642938020788991
ID15701172,15701172,216,501.473388671875,355.3211755455196,186.44463413837164,142.77796612569188,16.0,16,7.5,1,,759.5824232969319,583.0,367.0,2928.0,1460677.0,401.2760289993455,0.17585491451777316,0.5661903412201007
ID15477389,15477389,216,443.3887634277344,327.04707568389244,179.14861802712863,172.65222338477759,0.0,0,7.5,1,,764.1762870514821,584.0,407.0,2946.0,1469511.0,410.4585854679297,0.1775895662415744,0.5615361318850294
ID15168320,15168320,216,478.2823791503906,352.4018291517912,194.69895612179096,148.686900365626,13.0,13,7.5,1,,744.2797711908477,609.0,409.0,2329.0,1431250.0,321.22274153464286,0.16663093188005193,0.6618842742901418
ID15595653,15595653,216,475.18438720703125,353.96403073795676,183.1684026342054,133.82602958422274,18.0,18,7.5,1,,753.4664586583464,597.0,425.0,2381.0,1448916.0,354.00526944421057,0.17150428952535468,0.6231825681813544
ID15854680,15854680,216,433.76776123046875,326.65421458149353,180.32430853520967,172.57883529986168,4.0,4,7.5,1,,769.7041081643266,578.0,392.0,3340.0,1480141.0,446.50868588999,0.17887124037639307,0.5231160371519833
ID14987150,14987150,216,449.11444091796875,349.4071653026438,197.92955199721246,152.06007305738666,23.0,23,7.5,1,,726.9152366094644,601.0,422.0,2274.0,1397858.0,295.16304704533394,0.1548273171680776,0.6603623778134292
ID15127180,15127180,216,486.4559020996094,355.4502209370228,176.16615257389478,146.90084479202565,27.0,27,7.5,1,,749.4331773270931,601.0,421.0,2429.0,1441160.0,345.30243885397766,0.16801292127730888,0.6243933960739346
ID15073608,15073608,216,518.5200805664062,353.25402755253066,188.77873251462182,135.0552720061413,19.0,19,7.5,1,,749.2532501300052,595.0,420.0,2821.0,1440814.0,369.5819851391991,0.1700686250576766,0.58933292339836
ID16008453,16008453,216,462.71160888671875,325.72891918950364,180.06068497251056,167.544683067281,1.0,1,7.5,1,,739.1638065522621,587.0,358.0,2168.0,1421412.0,337.8029055798321,0.16421191072603827,0.6172767573346176
